,log2FoldChange,pvalue,padj,log2FoldChange,pvalue,padj,log2FoldChange,pvalue,padj
Dapma7bEVm000141,-0.087859015,0.703498007,0.940978754,-0.229108635,0.320541317,0.941696037,-0.315481903,0.173560239,0.965728374
Dapma7bEVm000142,0.089083273,0.679859391,0.93529632,-0.248292791,0.250660336,0.908193465,-0.128013536,0.555760731,0.997835001
Dapma7bEVm000144,0.31956908,0.637794196,NA,1.164517997,0.080606661,0.765159542,0.861732909,0.201005669,0.986281518
Dapma7bEVm000145,0.758540181,0.733484953,NA,-2.950647339,0.198817856,0.882036162,-0.526157924,0.814325602,0.998544574
Dapma7bEVm000146,-0.447425387,0.067806149,0.415129735,-0.10092106,0.677710919,0.987545798,-0.093094548,0.703206586,0.998544574
Dapma7bEVm000147,0.048936894,0.96817148,NA,0.197684236,0.871741588,0.996018607,-0.115317133,0.925236213,0.998544574
Dapma7bEVm000148,-0.234825921,0.32284384,0.768718825,-0.355839045,0.133736242,0.831909087,0.100109089,0.673110022,0.998544574
Dapma7bEVm000149,6.687697149,6.92E-08,NA,5.364566248,1.64E-05,0.006031831,7.116198408,9.37E-09,6.71E-06
Dapma7bEVm000150,0.149867887,0.501284372,0.876547521,0.029870429,0.893357645,0.996018607,-0.267775733,0.230142708,0.997835001
Dapma7bEVm000151,0.296659688,0.31646787,0.763795113,0.010260614,0.972365851,0.999117826,0.047489392,0.872874571,0.998544574
Dapma7bEVm000152,-0.305793594,0.500891659,0.876534652,0.117764128,0.79503189,0.995280907,-0.329641818,0.468552526,0.997835001
Dapma7bEVm000153,0.043557577,0.795383423,0.959482474,0.136281623,0.416039123,0.952985701,-0.32019275,0.057968631,0.805244561
Dapma7bEVm000154,0.028098321,0.892023676,0.97902678,0.114436762,0.579778232,0.972390868,-0.253600031,0.221923951,0.997523139
Dapma7bEVm000155,-0.98170452,0.367927312,NA,-0.392833845,0.716906751,0.994207572,-0.241255796,0.824107071,0.998544574
Dapma7bEVm000156,-0.207046115,0.494386624,0.873453884,-0.227213647,0.452715955,0.95782018,-0.066334033,0.826773616,0.998544574
Dapma7bEVm000157,-0.17851099,0.431942579,0.838273967,-0.06768148,0.765240514,0.995280907,-0.332174145,0.144762441,0.943201822
Dapma7bEVm000158,0.104346606,0.673856785,0.933074282,0.055439694,0.822718925,0.995280907,0.29407694,0.235649649,0.997835001
Dapma7bEVm000159,0.008321943,0.985910111,0.997650131,-0.140496023,0.765560592,0.995280907,-0.137306673,0.770897775,0.998544574
Dapma7bEVm000160,-0.260829703,0.053313891,0.36766711,-0.043990422,0.743723153,0.995280907,-0.314959983,0.019901312,0.560321933
Dapma7bEVm000161,0.012633509,0.965777906,0.99557375,0.014503676,0.960678977,0.998963876,-0.48554035,0.100436577,0.896682166
Dapma7bEVm000162,0.014760123,0.89158639,0.97902678,-0.028297141,0.793464022,0.995280907,-0.070431274,0.516827734,0.997835001
Dapma7bEVm000163,0.245641198,0.378811848,0.807554042,0.019259024,0.944978979,0.997211633,-0.037998591,0.892247055,0.998544574
Dapma7bEVm000164,0.401544383,0.026765649,0.251271131,0.30209608,0.095488331,0.793659898,0.045962924,0.800312426,0.998544574
Dapma7bEVm000165,-0.089059192,0.579451938,0.904100988,-0.017430645,0.913418436,0.996018607,-0.164865872,0.306197328,0.997835001
Dapma7bEVm000166,0.120104087,0.49147527,0.871582063,0.13139788,0.451270277,0.957609563,-0.106720165,0.541749386,0.997835001
Dapma7bEVm000167,0.287026778,0.167417106,0.617199096,0.15585519,0.452852319,0.95782018,0.084418342,0.686393616,0.998544574
Dapma7bEVm000168,-0.125290683,0.808629303,0.961784623,0.672575888,0.19152976,0.877495148,0.410721858,0.426389871,0.997835001
Dapma7bEVm000169,-0.35026534,0.211854397,0.672486859,-0.146647576,0.599244277,0.978145926,-0.426114737,0.130380695,0.933200618
Dapma7bEVm000170,0.150904509,0.697474527,0.940586474,0.208702531,0.590393953,0.975603595,-0.171888576,0.658818634,0.998307779
Dapma7bEVm000171,-0.184520686,0.211030291,0.671525912,-0.079520473,0.588501675,0.974486937,-0.297475902,0.044632033,0.742147125
Dapma7bEVm000172,0.289153775,0.294654139,0.746628621,0.238484507,0.387294262,0.952985701,-0.343668502,0.21363145,0.991607831
Dapma7bEVm000173,-0.083151564,0.707755645,0.942413883,0.006997729,0.97473069,0.999117826,0.202553687,0.360627522,0.997835001
Dapma7bEVm000174,-0.003024793,0.986554316,0.997650131,0.12249597,0.493560843,0.964158903,0.008986795,0.960145801,0.998544574
Dapma7bEVm000175,0.303212288,0.187289539,0.640950448,0.448482605,0.050849624,0.682056367,0.153031184,0.506326523,0.997835001
Dapma7bEVm000176,0.154429018,0.559540448,0.897328424,0.10267106,0.697689188,0.991796615,-0.33277455,0.211400439,0.99129443
Dapma7bEVm000177,0.150464621,0.448083769,0.849831263,0.200821457,0.310589231,0.939154914,-0.15915489,0.423876502,0.997835001
Dapma7bEVm000178,-0.053967743,0.836982851,0.967428352,-0.186550626,0.476281686,0.959980398,-0.350002099,0.185503196,0.974249988
Dapma7bEVm000179,-0.457077068,0.046343748,0.339349719,-0.045916798,0.839767046,0.995987636,-0.145492054,0.525121246,0.997835001
Dapma7bEVm000180,0.355837329,0.027377628,0.254290061,0.235334501,0.144245,0.841442447,0.040546811,0.802325397,0.998544574
Dapma7bEVm000181,0.944475532,3.88E-06,0.00024483,0.100990799,0.621858778,0.980944104,-0.039220927,0.84833154,0.998544574
Dapma7bEVm000182,-0.323465534,0.198705024,0.656191638,-0.361904538,0.148318344,0.845416249,-0.320804039,0.20476657,0.987969387
Dapma7bEVm000183,0.139767129,0.368635849,0.801768173,0.251326648,0.105320978,0.800388183,0.234825606,0.131178417,0.933200618
Dapma7bEVm000184,-0.174284509,0.185514435,0.6400977,0.078788384,0.547925219,0.971159653,-0.175496801,0.183362961,0.970982937
Dapma7bEVm000185,-0.003579506,0.99108147,0.998355032,0.179747047,0.57403335,0.971464427,-0.40977366,0.20202111,0.986281518
Dapma7bEVm000186,-0.031543163,0.916873418,0.985424702,-0.22676392,0.452731997,0.95782018,-0.19927016,0.512012964,0.997835001
Dapma7bEVm000187,-0.0035321,0.989167897,0.997788468,0.005076872,0.984414287,0.999771496,-0.250766055,0.336295817,0.997835001
Dapma7bEVm000188,-0.63611965,0.563825382,NA,0.911902366,0.402945372,0.952985701,-0.906741543,0.41336822,0.997835001
Dapma7bEVm000189,0.325678822,0.016408883,0.18684896,0.217914321,0.108305178,0.803630103,0.01915794,0.887811876,0.998544574
Dapma7bEVm000190,0.101029676,0.711539914,0.942675167,0.057067707,0.834434044,0.995987636,0.352796602,0.196527971,0.983915021
Dapma7bEVm000191,-0.281754958,0.480051957,0.865517405,-0.211375829,0.595264518,0.977374888,-0.160392927,0.687899117,0.998544574
Dapma7bEVm000192,-0.95101699,0.032044589,0.278548978,-0.864536105,0.050303897,0.679173729,-0.082055578,0.852116905,0.998544574
Dapma7bEVm000193,0.206778176,0.66421094,0.930033312,0.188868182,0.691090199,0.990680186,0.090512509,0.849837814,0.998544574
Dapma7bEVm000194,-0.410369033,0.215665623,0.677621922,-0.74487357,0.024795803,0.514037458,0.008917742,0.97847175,0.998544574
Dapma7bEVm000195,-1.17921805,0.191973988,0.646212955,0.667640212,0.45753263,0.959205692,-0.981424832,0.277540188,0.997835001
Dapma7bEVm000196,0.27360919,0.34906085,0.786918351,0.342436657,0.240874739,0.908193465,-0.105241356,0.719203827,0.998544574
Dapma7bEVm000197,-0.559888854,0.053451766,0.367723955,-0.241160857,0.404127861,0.952985701,-0.149169958,0.606447239,0.997835001
Dapma7bEVm000198,1.231738681,0.018632421,0.201989689,0.470619014,0.369875238,0.947850483,1.020815898,0.051640875,0.770578688
Dapma7bEVm000199,0.15972462,0.297580008,0.749604272,0.015552202,0.919065739,0.996018607,0.002925108,0.984887666,0.999369764
Dapma7bEVm000200,-1.909457624,0.00397284,NA,-0.110493459,0.863890931,0.996018607,-0.189315925,0.769891576,0.998544574
Dapma7bEVm000201,3.169152977,0.041652328,NA,2.57629332,0.098537188,0.793921054,2.681183586,0.086504435,0.873293134
Dapma7bEVm000202,-0.234007426,0.278836254,0.732375471,-0.180619571,0.402537482,0.952985701,-0.103186871,0.633130511,0.997835001
Dapma7bEVm000203,-0.375212833,0.504494311,0.876547521,0.447224745,0.422800304,0.952985701,-0.372740722,0.508211885,0.997835001
Dapma7bEVm000204,-0.2643295,0.666758182,NA,0.005909524,0.992250386,0.999771496,-0.154226415,0.8019766,0.998544574
Dapma7bEVm000205,-0.093060017,0.743982843,0.950272967,0.025231812,0.929357377,0.997211633,-0.437077598,0.125999733,0.932704674
Dapma7bEVm000206,0.392623707,0.053754398,0.368525678,0.402637101,0.047842029,0.666022417,0.029772172,0.883852274,0.998544574
